DateTime,Description,Plant Code,Alarm Group,Alarm State,Value,Operator,Operator Node
12/15/2024 00:02:44.082,"Gas shutoff valve status, V034",ZAC231V034INF,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:44.082,"Gas ventilation valve status, V037 & V038",ZAC231V037INF,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:44.082,"Gas ventilation valve status, V037 & V038",ZAC231V038INF,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:44.535,Remote start,SCA231OS7302ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:44.551,"MCC, degassing valve control",SCA231CV947ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:44.551,Open gas supply,SCA231OS931OING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:44.551,"PCC, degassing valve control",SCA231CV957ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:44.551,Engine ready for start,SCA231IS872ING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:44.551,"Engine status, start mode",SCA231IS871ING,Genset_23,         ,ON,WOIS,CWA903
12/15/2024 00:02:44.551,"Engine status, stop mode",SCA231IS878ING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:45.501,"UNIC to PLC HW, Open gas supply request, OS9310",CFC221A328INF,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:45.539,Remote start,SCA231OS7302ING,Genset_23,         ,OFF,WOIS,CWA903
12/15/2024 00:02:45.599,"Gas shutoff valve status, V034",ZAC221V034INF,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:46.525,Slowturning solenoid,SCA221CV331ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:46.525,Start solenoid valve,SCA221CV321ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:46.541,"PCC, degassing valve control",SCA221CV957ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:46.541,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:46.541,Open gas supply,SCA221OS931OING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:49.108,"UNIC to PLC HW, Open gas supply request, OS9310",CFC221A328INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:49.171,"ALM, GRU, Main line gas inlet pressure high",ZAC231P010AH,Genset_23,UNACK_ALM,ON,WOIS,CWA903
12/15/2024 00:02:49.193,"Gas shutoff valve status, V034",ZAC221V034INF,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:50.524,Fuel limiter active,SCA221IS1001ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:50.539,Open gas supply,SCA221OS931OING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:50.539,Engine gas ventilation complete,SCA221IS884ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:51.541,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:52.527,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,OFF,WOIS,CWA903
12/15/2024 00:02:53.529,"MCC, degassing valve control",SCA221CV947ING,Genset_22,         ,ON,WOIS,CWA903
12/15/2024 00:02:54.021,"UNIC to PLC HW, Open gas supply request, OS9310",CFC231A328INF,Genset_23,         ,OFF,WOIS,CWA903
